# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -300 ps, Average over 80 waveforms. Date: 2023-3-20
# Time [ps] 	 THz Signal [a.u.]
-274.90263748	-0.00306951
-274.86928107	-0.00223115
-274.83592466	-0.00261003
-274.80256825	-0.00309986
-274.76921184	-0.00216489
-274.73585543	-0.00248068
-274.70249902	-0.00307862
-274.66914261	-0.00386102
-274.63578620	-0.00248794
-274.60242979	-0.00239934
-274.56907338	-0.00350817
-274.53571697	-0.00325357
-274.50236056	-0.00317994
-274.46900415	-0.00278608
-274.43564774	-0.00216718
-274.40229133	-0.00222158
-274.36893492	-0.00240226
-274.33557852	-0.00237022
-274.30222211	-0.00268751
-274.26886570	-0.00307106
-274.23550929	-0.00348985
-274.20215288	-0.00269560
-274.16879647	-0.00154591
-274.13544006	-0.00217380
-274.10208365	-0.00335817
-274.06872724	-0.00227108
-274.03537083	-0.00451349
-274.00201442	-0.00257517
-273.96865801	-0.00379381
-273.93530160	-0.00209356
-273.90194519	-0.00193287
-273.86858878	-0.00243109
-273.83523237	-0.00255198
-273.80187596	-0.00162812
-273.76851955	-0.00190665
-273.73516314	-0.00343085
-273.70180673	-0.00347117
-273.66845033	-0.00356693
-273.63509392	-0.00285974
-273.60173751	-0.00332763
-273.56838110	-0.00355819
-273.53502469	-0.00421257
-273.50166828	-0.00269162
-273.46831187	-0.00294260
-273.43495546	-0.00294141
-273.40159905	-0.00428747
-273.36824264	-0.00352977
-273.33488623	-0.00262302
-273.30152982	-0.00317199
-273.26817341	-0.00390430
-273.23481700	-0.00453769
-273.20146059	-0.00340028
-273.16810418	-0.00323802
-273.13474777	-0.00433735
-273.10139136	-0.00335904
-273.06803495	-0.00317368
-273.03467854	-0.00403157
-273.00132213	-0.00313074
-272.96796573	-0.00319343
-272.93460932	-0.00332736
-272.90125291	-0.00331459
-272.86789650	-0.00400375
-272.83454009	-0.00347002
-272.80118368	-0.00422143
-272.76782727	-0.00384172
-272.73447086	-0.00436265
-272.70111445	-0.00339411
-272.66775804	-0.00369324
-272.63440163	-0.00539954
-272.60104522	-0.00437592
-272.56768881	-0.00479638
-272.53433240	-0.00416046
-272.50097599	-0.00394121
-272.46761958	-0.00496738
-272.43426317	-0.00359867
-272.40090676	-0.00467113
-272.36755035	-0.00404149
-272.33419394	-0.00494421
-272.30083753	-0.00416091
-272.26748113	-0.00385875
-272.23412472	-0.00480572
-272.20076831	-0.00418445
-272.16741190	-0.00568783
-272.13405549	-0.00455285
-272.10069908	-0.00435794
-272.06734267	-0.00438702
-272.03398626	-0.00413087
-272.00062985	-0.00531484
-271.96727344	-0.00422700
-271.93391703	-0.00485238
-271.90056062	-0.00512048
-271.86720421	-0.00461011
-271.83384780	-0.00498544
-271.80049139	-0.00418010
-271.76713498	-0.00479400
-271.73377857	-0.00527108
-271.70042216	-0.00440777
-271.66706575	-0.00579307
-271.63370934	-0.00476536
-271.60035293	-0.00463377
-271.56699653	-0.00492805
-271.53364012	-0.00524353
-271.50028371	-0.00508114
-271.46692730	-0.00620093
-271.43357089	-0.00539255
-271.40021448	-0.00439378
-271.36685807	-0.00497563
-271.33350166	-0.00534427
-271.30014525	-0.00549694
-271.26678884	-0.00492481
-271.23343243	-0.00431515
-271.20007602	-0.00562760
-271.16671961	-0.00520276
-271.13336320	-0.00549282
-271.10000679	-0.00628510
-271.06665038	-0.00566107
-271.03329397	-0.00595639
-270.99993756	-0.00587321
-270.96658115	-0.00525890
-270.93322474	-0.00647436
-270.89986833	-0.00498507
-270.86651193	-0.00581506
-270.83315552	-0.00533623
-270.79979911	-0.00596222
-270.76644270	-0.00516113
-270.73308629	-0.00536445
-270.69972988	-0.00683160
-270.66637347	-0.00524029
-270.63301706	-0.00576105
-270.59966065	-0.00654557
-270.56630424	-0.00519155
-270.53294783	-0.00567857
-270.49959142	-0.00551904
-270.46623501	-0.00581221
-270.43287860	-0.00607111
-270.39952219	-0.00652369
-270.36616578	-0.00596795
